,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
0,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957,66740,1902
1,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017,91142,1916
2,ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1957,1800,1888
3,ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012,1551152,2013
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011,1467373,1989
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015,718877,2008
6,ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",1957,7084,1902
7,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997,796343,1982
8,ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981,8670,1949
9,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015,1158449,1932
10,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998,874761,1981
11,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999,4977,1955
12,A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000,1090872,1999
13,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985,2969,1940
14,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007,1086222,1998
15,ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",2016,766421,1985
16,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016,915913,1994
17,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017,1035443,1994
18,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017,1097149,1997
19,ALLE,Allegion,Industrials,Building Products,"New York City, New York",2013,1579241,1908
20,LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016,352541,1917
21,ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995,899051,1931
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014,1652044,1998
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006,1652044,1998
24,MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957,764180,1985
25,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005,1018724,1994
26,AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019,1748790,2019
27,AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",2017,2488,1969
28,AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991,1002910,1902
29,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015,6201,1934
30,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957,4904,1906
31,AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976,4962,1850
32,AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1980,5272,1919
33,AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007,1053507,1995
34,AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016,1410636,1886
35,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005,820027,1894
36,ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001,1140859,1985
37,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013,1037868,1930
38,AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992,318154,1980
39,APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008,820313,1932
40,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999,6281,1965
41,ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017,1013462,1969
42,AON,Aon,Financials,Insurance Brokers,"London, UK",1996,315293,1982
43,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997,1841666,1954
44,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982,320193,1977
45,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995,6951,1967
46,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012,1521332,1994
47,ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",2022,947484,1995
48,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018,1596532,2004
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016,354190,1927
50,AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",2007,1267238,1892
51,T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983,732717,1983
52,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019,731802,1906
53,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989,769397,1982
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997,866787,1979
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",2007,915912,1978
56,AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",1987,8818,1990
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017,1701605,2017
58,BALL,Ball Corporation,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984,9389,1880
59,BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976,70858,1998
60,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",1983,701985,1963
61,BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972,10456,1931
62,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972,10795,1897
63,WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019,11544,1967
64,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010,1067983,1839
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999,764478,1966
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",2020,12208,1952
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021,842023,1976
68,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003,875045,1978
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011,1364742,1988
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995,1390777,1784
71,BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",1957,12927,1916
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009,1075531,1996
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011,908255,1880
74,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006,1037540,1970
75,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995,885725,1979
76,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957,14272,1989
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",2014,1730168,1961
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018,1383312,1962
79,BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021,79282,1939
80,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982,14693,1870
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007,1043277,1905
82,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017,813672,1988
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021,1590895,1973
84,CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",2022,906345,1981
85,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957,16732,1869
86,COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998,927628,1994
87,CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997,721371,1971
88,KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010,1170010,1993
89,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998,815097,1972
90,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020,1783180,2020
91,CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020,1596783,2007
92,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",1957,18230,1925
93,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017,1374310,1973
94,CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006,1138118,1906
95,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019,1402057,1984
96,CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018,1306830,1918
97,CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016,1071739,1984
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985,1130310,1882
99,CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021,1725057,1992
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008,1324404,1946
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021,1100682,1947
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997,316709,1971
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016,1091667,1993
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957,93410,1879
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011,1058090,1993
106,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010,896159,1985
107,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015,313927,1847
108,CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976,1739940,1982
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997,20286,1950
110,CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001,723254,1929
111,CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993,858877,1984
112,C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988,831001,1998
113,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016,759944,1828
114,CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969,21076,1913
115,CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006,1156375,1848
116,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957,811156,1886
117,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957,21344,1886
118,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006,1058290,1994
119,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957,21665,1806
120,CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002,1166691,1963
121,CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995,28412,1849
122,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983,23217,1919
123,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957,1163165,2002
124,ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",1957,1047862,1823
125,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005,16918,1945
126,CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2022,1868275,1999
127,COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",2016,711404,1958
128,CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018,900075,1982
129,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995,24741,1851
130,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019,1755672,2019
131,CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",2022,1057352,1987
132,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993,909832,1976
133,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008,858470,2021
134,CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012,1051470,1994
135,CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1957,277948,1980
136,CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1965,26172,1919
137,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957,64803,1996
138,DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005,882184,1978
139,DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",1998,313616,1969
140,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995,940944,1938
141,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",2008,927066,1979
142,DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957,315189,1837
143,DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013,27904,1929
144,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008,818479,2016
145,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000,1090012,1971
146,DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020,1093557,1999
147,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018,1539838,2007
148,DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",2016,1297996,2004
149,DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007,1393612,1985
150,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",2017,1001082,1980
151,DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",1976,1744489,1923
152,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012,29534,1939
153,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011,935703,1986
155,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020,1286681,1960
156,DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985,29905,1955
157,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019,1751788,2019
158,DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957,936340,1995
159,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976,1326160,1904
160,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019,1666700,2017
161,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017,1688568,2017
162,EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994,915389,1920
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957,1551182,1911
164,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002,1065088,1995
165,ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989,31462,1923
166,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957,827052,1886
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011,1099800,1958
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002,712515,1982
169,ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002,1156039,2014
170,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970,59478,1876
171,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965,32604,1890
172,ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",2021,1463101,2006
